,Rank,Nome de usuário,Divisão,Vitórias,Torneios_Jogados,Pontos da liga
65,64.,xiao dian dianNA(#64),GrandMasterPontos na Liga: 309,8,43,309
66,65.,happy0112EUNE(#65),GrandMasterPontos na Liga: 306,8,32,306
67,66.,표 면KR(#66),GrandMasterPontos na Liga: 306,7,34,306
68,67.,SphinxNA(#67),GrandMasterPontos na Liga: 306,6,38,306
69,68.,mike4mikeNA(#68),GrandMasterPontos na Liga: 305,10,51,305
70,69.,BG181818BGEUNE(#69),GrandMasterPontos na Liga: 303,8,33,303
71,70.,Koala EsbeltoBR(#70),GrandMasterPontos na Liga: 303,7,35,303
72,71.,JayPLEUW(#71),GrandMasterPontos na Liga: 302,9,46,302
73,72.,humbugNA(#72),GrandMasterPontos na Liga: 301,8,33,301
74,73.,DusuncesızlıkTR(#73),GrandMasterPontos na Liga: 300,8,39,300
75,74.,ccaselyNA(#74),GrandMasterPontos na Liga: 299,9,46,299
76,75.,TapLastEUNE(#75),GrandMasterPontos na Liga: 298,8,38,298
77,76.,BEE xiellendarioEUW(#76),GrandMasterPontos na Liga: 292,6,44,292
78,77.,YippeeMaokaiYayNA(#77),GrandMasterPontos na Liga: 290,6,31,290
79,78.,NG bossoskillsNA(#78),GrandMasterPontos na Liga: 289,6,37,289
80,79.,KinGKraXxNA(#79),GrandMasterPontos na Liga: 289,5,25,289
81,80.,AceofSpadesITAEUW(#80),GrandMasterPontos na Liga: 287,8,39,287
82,81.,BES NarkeshBR(#81),GrandMasterPontos na Liga: 286,6,30,286
83,82.,RamKevNA(#82),GrandMasterPontos na Liga: 284,7,28,284
84,83.,Best 佐藤 JPJP(#83),GrandMasterPontos na Liga: 283,7,39,283
85,84.,AI CE TOMABR(#84),GrandMasterPontos na Liga: 281,9,25,281
86,85.,FadderEUNE(#85),GrandMasterPontos na Liga: 279,8,35,279
87,86.,PD Ch1wyLAN(#86),GrandMasterPontos na Liga: 278,7,31,278
88,87.,Af0njjaRU(#87),GrandMasterPontos na Liga: 274,6,21,274
89,88.,iG NoobowlNA(#88),GrandMasterPontos na Liga: 273,6,33,273
90,89.,HyunTerTR(#89),GrandMasterPontos na Liga: 272,8,35,272
91,90.,BD WedBR(#90),GrandMasterPontos na Liga: 265,11,47,265
92,91.,KRC BriksTNRU(#91),GrandMasterPontos na Liga: 260,10,25,260
93,92.,TR MükemmelTR(#92),GrandMasterPontos na Liga: 258,12,48,258
94,93.,iG guubumsNA(#93),GrandMasterPontos na Liga: 258,5,19,258
95,94.,BEE ErithBR(#94),GrandMasterPontos na Liga: 257,5,20,257
96,95.,RubicTR(#95),GrandMasterPontos na Liga: 256,8,27,256
97,96.,Rank 1 EUNE TFTEUNE(#96),GrandMasterPontos na Liga: 251,10,34,251
98,97.,DV1 TSW5EUW(#97),GrandMasterPontos na Liga: 248,9,32,248
99,98.,dosaidon0JP(#98),GrandMasterPontos na Liga: 247,5,29,247
100,99.,profesorkubaEUNE(#99),GrandMasterPontos na Liga: 246,7,29,246
101,100.,FurriyaEUW(#100),GrandMasterPontos na Liga: 243,8,35,243
